region1,region2,2016,2017,2018,2019,2020,2021,2022
서울특별시,종로구,72.5 ,72.4 ,72.4 ,73.8 ,74.6 ,73.3 ,73.6 
서울특별시,중구,53.5 ,54.3 ,66.9 ,69.0 ,68.8 ,70.2 ,72.1 
서울특별시,용산구,73.2 ,73.1 ,73.8 ,74.8 ,73.7 ,74.0 ,74.2 
서울특별시,성동구,61.8 ,62.3 ,68.9 ,69.7 ,70.4 ,71.2 ,72.5 
서울특별시,광진구,55.7 ,54.4 ,55.5 ,54.1 ,52.4 ,51.6 ,51.8 
서울특별시,동대문구,63.3 ,64.1 ,60.4 ,60.5 ,60.6 ,61.6 ,63.1 
서울특별시,중랑구,63.4 ,64.4 ,60.7 ,59.5 ,58.0 ,60.6 ,60.0 
서울특별시,성북구,71.1 ,70.7 ,60.8 ,59.8 ,58.5 ,57.7 ,58.4 
서울특별시,강북구,52.0 ,52.3 ,53.3 ,53.1 ,54.0 ,56.2 ,58.9 
서울특별시,도봉구,75.3 ,74.4 ,76.7 ,76.2 ,75.3 ,75.7 ,75.8 
서울특별시,노원구,63.9 ,68.9 ,63.7 ,62.7 ,59.7 ,60.9 ,61.4 
서울특별시,은평구,50.8 ,50.8 ,35.2 ,33.4 ,33.7 ,33.6 ,37.1 
서울특별시,서대문구,66.4 ,66.8 ,67.3 ,66.9 ,69.1 ,70.2 ,71.4 
서울특별시,마포구,58.9 ,60.0 ,49.5 ,49.8 ,49.6 ,51.3 ,56.4 
서울특별시,양천구,75.3 ,74.3 ,71.2 ,68.0 ,67.9 ,67.8 ,69.3 
서울특별시,강서구,51.4 ,50.1 ,26.3 ,24.3 ,21.4 ,18.6 ,19.1 
서울특별시,구로구,73.3 ,68.5 ,65.7 ,63.3 ,61.1 ,59.9 ,59.7 
서울특별시,금천구,61.7 ,59.6 ,71.5 ,71.7 ,70.9 ,71.1 ,72.8 
서울특별시,영등포구,77.2 ,75.9 ,68.2 ,68.0 ,65.3 ,63.8 ,64.8 
서울특별시,동작구,61.8 ,61.6 ,67.4 ,65.1 ,62.2 ,60.9 ,60.7 
서울특별시,관악구,68.4 ,66.7 ,64.7 ,62.1 ,56.3 ,50.9 ,50.8 
서울특별시,서초구,73.6 ,70.6 ,51.8 ,49.0 ,46.1 ,45.1 ,45.2 
서울특별시,강남구,75.1 ,73.6 ,46.8 ,43.3 ,39.6 ,35.8 ,37.3 
서울특별시,송파구,72.5 ,72.3 ,46.8 ,46.0 ,43.2 ,39.6 ,40.0 
서울특별시,강동구,71.9 ,70.9 ,62.7 ,61.8 ,59.0 ,56.8 ,57.1 
부산광역시,중구,59.7 ,57.2 ,86.9 ,76.1 ,71.9 ,71.5 ,72.6 
부산광역시,서구,87.4 ,87.4 ,90.4 ,89.2 ,61.0 ,43.2 ,44.4 
부산광역시,동구,0.0 ,0.0 ,66.9 ,65.5 ,48.9 ,59.6 ,60.9 
부산광역시,영도구,75.9 ,75.5 ,80.0 ,79.9 ,72.1 ,69.3 ,70.3 
부산광역시,부산진구,29.5 ,28.5 ,40.6 ,30.4 ,6.8 ,(144.3),(140.3)
부산광역시,동래구,64.6 ,64.3 ,51.3 ,42.0 ,30.5 ,15.6 ,17.7 
부산광역시,남구,74.8 ,77.3 ,72.5 ,70.7 ,64.7 ,64.1 ,65.0 
부산광역시,북구,69.9 ,71.9 ,76.6 ,78.0 ,44.6 ,3.6 ,6.5 
부산광역시,해운대구,81.1 ,84.8 ,68.3 ,63.0 ,34.9 ,(12.7),(9.1)
부산광역시,사하구,69.4 ,69.7 ,47.1 ,58.9 ,32.4 ,(21.6),(14.7)
부산광역시,금정구,92.1 ,91.9 ,78.6 ,77.6 ,69.5 ,66.2 ,68.3 
부산광역시,강서구,3.6 ,3.5 ,(145.5),(136.1),(45.0),(198.6),(182.3)
부산광역시,연제구,72.2 ,71.4 ,86.3 ,80.6 ,30.7 ,(77.6),(73.0)
부산광역시,수영구,27.5 ,34.4 ,77.2 ,79.3 ,58.2 ,42.7 ,45.5 
부산광역시,사상구,94.0 ,93.6 ,91.4 ,91.3 ,40.4 ,(33.7),(30.3)
부산광역시,기장군,44.2 ,44.0 ,34.8 ,31.5 ,15.3 ,(64.8),(60.5)
대구광역시,중구,70.6 ,71.7 ,76.0 ,76.7 ,77.3 ,78.4 ,79.6 
대구광역시,동구,64.0 ,65.5 ,10.5 ,11.2 ,11.9 ,12.6 ,12.7 
대구광역시,서구,82.3 ,83.2 ,74.7 ,75.8 ,75.3 ,74.6 ,74.5 
대구광역시,남구,81.0 ,82.1 ,80.5 ,75.4 ,73.1 ,73.6 ,75.4 
대구광역시,북구,66.2 ,66.4 ,26.9 ,27.4 ,29.7 ,40.0 ,45.8 
대구광역시,수성구,82.4 ,83.3 ,53.0 ,55.6 ,59.2 ,60.5 ,60.7 
대구광역시,달서구,74.7 ,77.6 ,34.2 ,40.1 ,44.6 ,47.9 ,52.2 
대구광역시,달성군,36.9 ,36.3 ,(55.3),(55.5),(53.5),(50.7),(44.2)
대구광역시,군위군,80.1 ,80.0 ,77.1 ,74.4 ,74.1 ,71.1 ,70.7 
인천광역시,중구,0.1 ,0.2 ,(54.6),(53.2),(37.8),(37.3),(20.7)
인천광역시,동구,87.1 ,89.3 ,95.2 ,95.3 ,95.6 ,95.4 ,96.1 
인천광역시,미추홀구,74.8 ,74.7 ,71.4 ,71.2 ,70.9 ,70.9 ,71.9 
인천광역시,연수구,43.8 ,45.7 ,(9.2),(8.4),(8.1),(7.3),(4.5)
인천광역시,남동구,67.4 ,68.5 ,16.9 ,15.6 ,11.8 ,11.4 ,12.2 
인천광역시,부평구,84.6 ,83.6 ,74.0 ,77.4 ,79.3 ,81.5 ,85.1 
인천광역시,계양구,82.8 ,84.4 ,88.6 ,89.2 ,90.0 ,92.1 ,93.0 
인천광역시,서구,32.2 ,35.3 ,(160.1),(145.1),(139.6),(137.0),(130.4)
인천광역시,강화군,27.5 ,26.6 ,68.0 ,67.7 ,64.3 ,64.8 ,66.5 
인천광역시,옹진군,2.3 ,2.3 ,78.8 ,78.6 ,80.1 ,79.1 ,75.7 
광주광역시,동구,84.0 ,84.4 ,85.1 ,83.2 ,83.1 ,84.3 ,85.6 
광주광역시,서구,53.9 ,60.5 ,14.3 ,18.2 ,20.6 ,22.8 ,26.5 
광주광역시,남구,54.9 ,56.5 ,40.6 ,40.9 ,40.8 ,41.0 ,42.5 
광주광역시,북구,42.0 ,53.4 ,(58.5),(50.3),(43.7),(39.7),(34.1)
광주광역시,광산구,63.4 ,64.7 ,(42.2),(35.5),(36.8),(32.0),(45.9)
대전광역시,동구,62.1 ,62.9 ,38.0 ,39.0 ,39.4 ,40.3 ,39.1 
대전광역시,중구,92.1 ,92.0 ,86.6 ,86.5 ,86.4 ,86.4 ,93.0 
대전광역시,서구,65.8 ,84.0 ,89.0 ,89.1 ,95.0 ,93.8 ,95.5 
대전광역시,유성구,0.0 ,0.0 ,(128.0),(126.4),(124.4),(122.2),(65.9)
대전광역시,대덕구,85.9 ,88.7 ,80.5 ,80.2 ,88.7 ,87.7 ,88.0 
울산광역시,중구,75.6 ,75.7 ,47.2 ,45.6 ,45.2 ,45.5 ,46.9 
울산광역시,남구,76.0 ,73.0 ,32.6 ,35.1 ,20.1 ,(36.1),(30.4)
울산광역시,동구,59.2 ,58.9 ,53.0 ,53.6 ,53.9 ,54.2 ,55.4 
울산광역시,북구,35.6 ,29.9 ,(31.8),(29.6),(30.5),(24.9),(49.0)
울산광역시,울주군,33.8 ,31.8 ,(173.6),(191.0),(199.2),(188.4),(181.5)
세종특별자치시,조치원읍,0.0 ,0.0 ,41.0 ,74.8 ,72.1 ,72.0 ,72.7 
세종특별자치시,연기면,0.0 ,0.0 ,90.4 ,96.1 ,96.2 ,96.2 ,96.3 
세종특별자치시,연동면,0.0 ,0.4 ,89.1 ,97.5 ,96.2 ,96.2 ,96.3 
세종특별자치시,부강면,0.0 ,0.0 ,83.9 ,96.2 ,96.1 ,96.1 ,96.2 
세종특별자치시,금남면,0.0 ,0.0 ,82.3 ,87.7 ,86.7 ,86.8 ,87.1 
세종특별자치시,장군면,0.0 ,0.0 ,93.4 ,100.0 ,100.0 ,90.3 ,89.6 
세종특별자치시,연서면,0.0 ,0.0 ,65.2 ,78.0 ,77.8 ,78.0 ,78.5 
세종특별자치시,전의면,0.0 ,0.0 ,73.9 ,90.3 ,90.0 ,90.2 ,90.5 
세종특별자치시,전동면,0.0 ,0.0 ,81.7 ,92.3 ,92.3 ,92.3 ,92.5 
세종특별자치시,소정면,0.0 ,0.0 ,90.8 ,92.9 ,92.7 ,92.7 ,92.9 
세종특별자치시,한솔동,0.0 ,0.0 ,76.9 ,77.1 ,77.2 ,77.3 ,77.9 
세종특별자치시,새롬동,0.0 ,0.0 ,93.2 ,93.3 ,84.9 ,83.5 ,83.9 
세종특별자치시,나성동,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
세종특별자치시,도담동,0.0 ,0.0 ,54.2 ,54.5 ,54.7 ,54.9 ,56.1 
세종특별자치시,어진동,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
세종특별자치시,해밀동,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,92.9 ,92.6 
세종특별자치시,아름동,0.0 ,0.0 ,67.6 ,67.8 ,67.9 ,68.1 ,68.9 
세종특별자치시,종촌동,0.0 ,0.0 ,87.9 ,88.0 ,88.0 ,88.1 ,88.4 
세종특별자치시,고운동,0.0 ,0.0 ,67.8 ,68.1 ,68.1 ,68.3 ,69.2 
세종특별자치시,소담동,0.0 ,0.0 ,92.8 ,92.3 ,92.4 ,92.4 ,92.6 
세종특별자치시,반곡동,0.0 ,0.0 ,91.1 ,80.2 ,71.8 ,69.7 ,70.5 
세종특별자치시,보람동,0.0 ,0.0 ,90.7 ,90.8 ,90.8 ,90.9 ,91.1 
세종특별자치시,대평동,0.0 ,0.0 ,92.5 ,92.6 ,92.6 ,92.6 ,92.8 
세종특별자치시,다정동,0.0 ,0.0 ,92.6 ,92.7 ,89.7 ,89.4 ,89.7 
경기도,파장동,73.0 ,72.9 ,95.2 ,95.2 ,95.3 ,95.3 ,95.4 
경기도,율천동,64.6 ,63.0 ,94.8 ,94.8 ,94.8 ,95.0 ,95.1 
경기도,정자1동,69.0 ,68.3 ,98.4 ,98.4 ,98.4 ,98.5 ,98.5 
경기도,정자2동,57.6 ,57.6 ,98.4 ,98.4 ,98.5 ,98.6 ,98.6 
경기도,정자3동,3.9 ,3.9 ,92.9 ,93.0 ,93.1 ,99.0 ,99.0 
경기도,영화동,90.6 ,90.0 ,98.8 ,98.8 ,98.8 ,98.8 ,98.9 
경기도,송죽동,81.7 ,79.8 ,98.3 ,98.4 ,98.4 ,98.4 ,98.4 
경기도,조원1동,75.6 ,75.5 ,97.5 ,97.5 ,97.5 ,99.1 ,99.1 
경기도,조원2동,75.2 ,75.2 ,99.5 ,99.5 ,99.5 ,99.5 ,99.5 
경기도,연무동,93.4 ,92.4 ,98.9 ,98.9 ,98.9 ,99.0 ,99.0 
경기도,세류1동,62.2 ,62.2 ,98.2 ,98.2 ,98.2 ,98.2 ,98.3 
경기도,세류2동,87.4 ,86.4 ,98.3 ,98.3 ,98.3 ,98.3 ,98.4 
경기도,세류3동,91.3 ,90.7 ,99.3 ,99.3 ,99.3 ,99.3 ,99.3 
경기도,평동,38.2 ,36.0 ,69.0 ,68.5 ,68.2 ,68.4 ,69.2 
경기도,서둔동,40.6 ,39.7 ,82.7 ,82.8 ,82.8 ,83.0 ,83.5 
경기도,구운동,56.2 ,56.2 ,93.4 ,93.5 ,93.5 ,93.5 ,98.2 
경기도,금곡동,17.2 ,17.2 ,88.2 ,87.2 ,87.1 ,87.2 ,87.5 
경기도,호매실동,25.2 ,25.2 ,86.7 ,85.2 ,84.9 ,85.0 ,85.4 
경기도,권선1동,90.7 ,90.7 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 
경기도,권선2동,41.6 ,41.6 ,90.2 ,90.3 ,90.4 ,91.0 ,91.2 
경기도,곡선동,29.3 ,29.1 ,90.1 ,91.1 ,91.1 ,91.8 ,92.0 
경기도,입북동,46.4 ,46.3 ,93.8 ,92.0 ,91.9 ,91.9 ,92.1 
경기도,매교동,86.0 ,85.0 ,99.3 ,99.3 ,99.3 ,99.3 ,99.4 
경기도,매산동,86.1 ,85.7 ,99.2 ,99.1 ,99.1 ,99.1 ,99.2 
경기도,고등동,83.8 ,83.8 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 
경기도,화서1동,82.9 ,82.9 ,98.8 ,98.7 ,98.7 ,98.7 ,98.8 
경기도,화서2동,23.0 ,45.4 ,95.5 ,95.5 ,95.5 ,98.6 ,98.7 
경기도,지동,88.0 ,87.7 ,99.0 ,99.0 ,99.0 ,99.0 ,99.0 
경기도,우만1동,89.3 ,89.3 ,99.2 ,99.2 ,99.2 ,99.2 ,99.2 
경기도,우만2동,82.4 ,82.4 ,99.1 ,99.1 ,99.1 ,99.1 ,99.2 
경기도,인계동,86.3 ,86.3 ,97.4 ,97.4 ,97.4 ,97.4 ,97.5 
경기도,행궁동,83.9 ,81.5 ,97.5 ,97.6 ,97.6 ,97.6 ,97.6 
경기도,매탄1동,64.1 ,64.1 ,98.8 ,98.8 ,98.8 ,98.8 ,98.9 
경기도,매탄2동,82.3 ,82.3 ,98.9 ,98.9 ,98.9 ,98.9 ,98.9 
경기도,매탄3동,49.2 ,49.0 ,92.0 ,92.0 ,92.0 ,92.1 ,96.7 
경기도,매탄4동,78.7 ,78.7 ,98.7 ,99.0 ,99.0 ,99.0 ,99.1 
경기도,원천동,45.2 ,45.0 ,90.6 ,91.1 ,91.4 ,91.4 ,91.7 
경기도,영통1동,5.4 ,99.1 ,99.9 ,99.9 ,99.9 ,99.9 ,100.0 
