address,latitude,longitude,date,width,length,depth,category
서울특별시 강남구 삼성동 147-2앞 (봉은사로 86길),37.5132443,127.0559981,2018-03-01,3,4,1.5,타 지하시설물 노후화
서울특별시 송파구 삼전동 180-6 (백제고분로 272),37.5022108,127.0965094,2018-03-04,1,2,0.5,상수관로 파손
서울특별시 구로구 구로동 723-16 (구로동로17길),37.4884285,126.8834739,2018-03-11,0.4,0.4,1,타 지하시설물 파손
서울특별시 영등포구 당산동4가 93-5 (국회대로 539),37.5293166,126.894826,2018-03-13,0.5,0.7,1.5,하수관로 노후화
서울특별시 영등포구 양평동4가 23-2 (양평로19길 19),37.5357072,126.8943162,2018-03-27,5,5,1.5,하수관거 노후화
서울특별시 영등포구 여의도동 44-11 (의사당대로1길 34),37.5200935,126.9307709,2018-03-28,0.3,0.3,1,우수시설 시공불량
서울특별시 도봉구 창동 316 (해등로12길),37.6527374,127.0423127,2018-04-25,0.8,0.6,1.3,우수관로 노후화
서울특별시 강남구 역삼동 814-6 (강남대로100길10),37.5016542,127.0263905,2018-04-26,0.5,1,1,하수관로 노후화
서울특별시 용산구 용산동5가 19-389 (파크타워 104동앞),37.5231138,126.9720912,2018-04-28,0.5,0.5,1,하수관로 시공불량
서울특별시 구로구 구로동 126-28 (도림로 럭키아파트 인근),37.4914866,126.8942155,2018-06-24,0.2,0.2,1,타 지하시설물 시공불량
서울특별시 관악구 보라매동 732-1 7(보라매로 21),37.4915675,126.9262143,2018-07-17,2,0.6,1,우수시설 시공불량
서울특별시 중구  퇴계로 196 (충무로역 3번출구),,,2018-07-17,5,5,1.5,상수관로 파손
서울특별시 강남구 논현동 280(강남대로 논현역 7번출구 앞),37.5103038,127.0219656,2018-08-15,1.5,3,1,지반 시공불량
서울특별시 종로구 연건동 28-2(대학로 103),37.580742,126.9994817,2018-09-04,1.1,1,1,하수관로 파손
서울특별시 강북구 수유동 313-49(삼양로 119길 1),37.6440517,127.0157168,2018-09-04,1.5,1.5,1,하수관거 노후화
서울특별시 동작구 노량진동 50-2앞 (노량진초교 앞),37.5121241,126.9404903,2018-12-02,0.7,0.7,1,하수관로 시공불량
서울특별시 강서구 마곡동 793-7 (마곡지구 C17-2블록 공사장 앞 보도),37.5615523,126.8387745,2018-12-09,1.5,3,3,하수관로 파손
전북특별자치도 정읍시 이평면 창동리 산11-5번지 근처,35.6695994,126.8103036,2018-01-02,1.5,1.8,1.5,타 지하시설물 노후화
광주광역시 광산구 도산동 1221-20번지,35.1268484,126.7830294,2018-01-03,0.3,0.2,1.5,하수관거 파손
경상남도 사천시 사천읍 선인길 30-21,35.0795805,128.0964756,2018-01-12,1,2,0.1,맨홀 파손
충청북도 청주시 흥덕구 운천동 660,36.6552006,127.47458,2018-01-16,0.8,0.8,0.5,하수관로 파손
광주광역시 광산구 우산동 1600-1번지,35.161289,126.8061678,2018-01-22,0.1,0.1,1,하수관로 파손
광주광역시 광산구 소촌동 450-3번지,35.1453743,126.7928792,2018-01-22,0.3,0.3,1.5,하수관거 파손
울산광역시 울주군 온산읍 대정리 70-5 (온산항 사거리앞 울산에서 부산방면 1차로),35.4368856,129.3513765,2018-01-24,1.1,1.1,1.2,타 지하시설물 시공불량
경기도 군포시 산본동 1189,37.3600752,126.930441,2018-01-25,1,1,0.3,하수관로 시공불량
부산광역시 해운대구  좌동순환로 419 앞,,,2018-01-26,1,4,1,하수관로 노후화
강원특별자치도 원주시  학성안길41,,,2018-01-28,2.5,5.5,1.5,상수관로 파손
강원특별자치도 원주시  행구로257아욱이,,,2018-01-28,3,3.5,1.6,상수관로 파손
강원특별자치도 원주시 단구동 1515-4,37.3304144,127.9486703,2018-01-31,2.7,5,1.6,상수관로 파손
강원특별자치도 원주시 흥업면 매지리 4018 무수막다리,,,2018-02-01,2.5,3.8,1.5,상수관로 파손
충청북도 청주시 상당구 방서동 644-117,36.5984065,127.5054265,2018-02-01,2,3,0.1,하수관로 파손
경기도 부천시 소사본동 148-9,37.4769818,126.7919578,2018-02-06,1,1,0.2,하수관로 파손
경기도 부천시 원미동 76-1번지,37.4951762,126.7917478,2018-02-06,2,4,1.5,하수관로 파손
충청북도 청주시 흥덕구 복대동 31-6,36.6341405,127.4405511,2018-02-07,0.5,0.5,0.5,하수관로 시공불량
광주광역시 광산구 월곡동 515-10번지,35.1716238,126.8066466,2018-02-09,0.3,0.3,1.5,하수관로 파손
경기도 부천시 춘의동 72-5번지,37.505611,126.788096,2018-02-09,2,1.8,0.2,하수관로 파손
충청북도 청주시 흥덕구 복대동 2200,36.6275859,127.4465191,2018-02-19,0.8,0.8,0.8,하수관로 파손
부산광역시 수영구  광안로 성원쌍떼빌 앞(광안역2번 출구),,,2018-02-20,1.5,1.5,0.7,타 지하시설물 시공불량
경기도 부천시 춘의동 155-1번지,37.5041293,126.7916873,2018-02-21,5.4,6,0.2,지반 시공불량
경기도 부천시 원미동 111-8번지,37.4944916,126.7853739,2018-02-21,2.5,10,1,하수관로 파손
경기도 부천시 작동 5 로얄아파트 일원,37.5202583,126.813028,2018-02-21,1,2,0.1,지반 시공불량
경상남도 거제시 일운면 지세포리 416-17번지 일원 (도시계획도로 소로1-19호선),34.8292816,128.7108292,2018-02-26,3.5,20,1.5,타 지하시설물 시공불량
충청북도 음성군 음성읍 읍내리 350-1 삼보아파트 단지 내 인도,36.9317258,127.6936659,2018-03-01,11,1.8,1.5,타 지하시설물 시공불량
경상남도 사천시 용현면 신복리 ,,,2018-03-02,1,2,0.1,오수받이 파손
강원특별자치도 원주시 개운동 399-19,37.3401854,127.9573731,2018-03-04,3.1,4.5,1.8,상수관로 파손
경기도 부천시 춘의동 부천종합운동장역,,,2018-03-05,7,8,1.2,맨홀 파손
부산광역시 중구 영주동 모노레일 삼거리,,,2018-03-07,1,1,1,집중강우
부산광역시 해운대구  청사포로 126번길 6 일원,,,2018-03-07,1.2,2,0.5,하수관로 노후화
경기도 고양시 일산동구 설문동 199-2번지 일원,37.7109922,126.8133412,2018-03-07,2.5,2.5,2,하수관로 파손
부산광역시 사하구  하단오거리 교차로(하단1동),,,2018-03-08,1,1,3,타 지하시설물 시공불량
경기도 부천시 소사본동 421-1(동남삼거리),37.4716187,126.8016509,2018-03-09,3,3,1.5,하수관로 파손
경기도 부천시 도당동 7번지,37.5158666,126.7782025,2018-03-09,5,7,1.5,하수관로 파손
충청북도 청주시 청원구 내덕동 648-14,36.6564901,127.4824145,2018-03-10,8,7,1.5,상수관로 파손
강원특별자치도 강릉시  율곡초교길39번길 3,,,2018-03-12,0.3,0.5,0.2,원인미상
경상남도 사천시  중앙로 3-1,,,2018-03-12,1,1,0.05,오수받이 파손
경기도 부천시 춘의동 까치울역사거리,,,2018-03-12,4,4,0.3,맨홀 파손
경기도 부천시  까치울사거리역,,,2018-03-12,4,4,0.3,맨홀 파손
대구광역시 남구  봉덕로7(한진기사식당) 앞,,,2018-03-13,1,2,1,상수관로 파손
경기도 부천시  원미동 181-3,,,2018-03-13,1,1,0.5,하수관로 노후화
경기도 부천시 소사본동 420-1(동남삼거리),37.4691924,126.7972438,2018-03-13,3,170,0.3,타 지하시설물 시공불량
경기도 부천시 원미동 83-28번지,37.4954364,126.7883004,2018-03-13,1.6,1.8,0.3,우수시설 파손
경기도 부천시 고강동 113-5 봉오대로 자전거도로,37.5354362,126.8102026,2018-03-13,1.5,1.5,0.3,지반 시공불량
전라남도 완도군 완도읍 군내리 1433(경도빌딩),34.314544,126.7561908,2018-03-15,14.6,6.2,0.3,타 지하시설물 파손
경기도 부천시 원미동 189-96,37.4891063,126.7922156,2018-03-15,1,1,0.5,하수관로 노후화
경기도 부천시 소사본동 368-6(동남삼거리),37.4723278,126.7911024,2018-03-15,1,1,1,타 지하시설물 시공불량
경상북도 포항시 북구  청하면 비학로 2167번지 앞,,,2018-03-16,2,150,0.08,도로 노후화
부산광역시 연제구  거제시장로 14번길 28,,,2018-03-19,1,1.5,1.5,상수관로 파손
경기도 양주시  화합로 201,,,2018-03-19,1.7,1.2,1,타 지하시설물 시공불량
강원특별자치도 원주시 태장동 원마트 옆,,,2018-03-21,5.5,6,1.2,지반 시공불량
충청북도 청주시 청원구 내덕동 740-10,36.6610364,127.4760078,2018-03-22,2,2.5,3,하수관로 시공불량
"전라남도 목포시 연산동 1922 늘품어린이공원 
 (백련초등학교 옆)",34.8188933,126.3899634,2018-03-25,1.2,1.2,1.5,타 지하시설물 시공불량
충청북도 청주시 청원구 오창읍 탑리 429-2,36.7122763,127.4554489,2018-03-26,2,1.5,2,하수관로 노후화
전라남도 해남군 황산면 청룡마을회관 - 산이면 대명리 마을회관,,,2018-03-26,1.1,1.1,0.7,원인미상
부산광역시 사하구  무지개공단 내 도로(장림1동),,,2018-03-28,1,1,1,원인미상
울산광역시 울주군 온산읍 덕신리 580-3 (온산소방서 앞),35.4338292,129.3060969,2018-03-28,1,1,1.5,상수관로 파손
강원특별자치도 원주시 우산동 237-16,37.3672874,127.9340648,2018-03-29,3.8,4.7,1.3,지반 시공불량
부산광역시 부산진구  서전로 41 도요코인 호텔 앞,,,2018-03-29,2,7,1.5,상수관로 파손
세종특별자치시 - 어진동 513 M브릿지 신축현장,,,2018-04-02,0.8,0.8,3,하수관로 파손
충청북도 청주시 청원구 우암동 397-20,36.6496128,127.4819677,2018-04-02,4,1,1.5,하수관로 노후화
전북특별자치도 전주시 완산구  평화18길 11 서진어린이집 앞,,,2018-04-02,2,3,2,하수관로 노후화
경기도 부천시 소사본동 196,37.4751098,126.7985166,2018-04-02,1,1,0.3,원인미상
경상북도 경주시 용강동 1238-45,35.8675491,129.2211499,2018-04-03,1,1,0.4,지반 시공불량
부산광역시 사하구  다대몰운대아파트207동 앞(다대1동),,,2018-04-04,1,1.2,0.5,상수관로 파손
충청북도 청주시 청원구 우암동 766-6,36.6473326,127.4824576,2018-04-04,2,1.5,2,하수관로 노후화
광주광역시 광산구 송정동 576-18번지,35.1393958,126.7976217,2018-04-05,1,1,0.7,하수관로 파손
